"","GVKEY","Year","EarningsBeforeInterestTaxes","Employees","TotalMarketValue","Company","Salary","TotalCompensation","State","NAICS","Gender","Age"
"1","001078",2010,8038.781,90,74116.0034,"ABBOTT LABORATORIES",1893.371,25564.283,"IL",334510,"MALE",55
"2","001078",2011,8996.448,91,88302.4112,"ABBOTT LABORATORIES",1900,24010.902,"IL",334510,"MALE",56
"3","001078",2012,9783.515,91,103271.6885,"ABBOTT LABORATORIES",1900,25118.836,"IL",334510,"MALE",57
"4","001078",2013,2674,69,59338.5963,"ABBOTT LABORATORIES",1900,20865.668,"IL",334510,"MALE",58
"5","001078",2014,2927,77,67891.7357,"ABBOTT LABORATORIES",1973.077,17732.241,"IL",334510,"MALE",59
"6","001078",2015,3372,74,66137.3852,"ABBOTT LABORATORIES",1900,19401.704,"IL",334510,"MALE",60
"7","001078",2016,3622,75,56572.8983,"ABBOTT LABORATORIES",1900,20285.591,"IL",334510,"MALE",61
"8","001078",2017,3996,99,99507.3661,"ABBOTT LABORATORIES",1900,18971.019,"IL",334510,"MALE",62
"9","001078",2018,4284,103,126983.9223,"ABBOTT LABORATORIES",1900,24254.238,"IL",334510,"MALE",63
"10","001078",2019,5041,107,153091.0106,"ABBOTT LABORATORIES",1900,27802.817,"IL",334510,"MALE",64
"11","001078",2020,5785,109,193931.9727,"ABBOTT LABORATORIES",1298.462,20450.586,"IL",334510,"MALE",46
"12","001078",2021,8966,113,248276.9007,"ABBOTT LABORATORIES",1482.692,24914.886,"IL",334510,"MALE",47
"13","001300",2010,3734,130,41624.28,"HONEYWELL INTERNATIONAL INC",1800,20154.012,"NC",336413,"MALE",57
"14","001300",2011,3317,132,42104.945,"HONEYWELL INTERNATIONAL INC",1800,37842.723,"NC",336413,"MALE",58
"15","001300",2012,4599,132,49684.316,"HONEYWELL INTERNATIONAL INC",1800,33247.178,"NC",336413,"MALE",59
"16","001300",2013,6164,131,71615.806,"HONEYWELL INTERNATIONAL INC",1800,25973.246,"NC",336413,"MALE",60
"17","001300",2014,6429,127,78157.424,"HONEYWELL INTERNATIONAL INC",1865.769,29142.121,"NC",336413,"MALE",61
"18","001300",2015,7374,129,79790.328,"HONEYWELL INTERNATIONAL INC",1890,34527.344,"NC",336413,"MALE",62
"19","001300",2016,7331,131,88138.68,"HONEYWELL INTERNATIONAL INC",1890,21261.501,"NC",336413,"MALE",63
"20","001300",2017,8122,131,115158.024,"HONEYWELL INTERNATIONAL INC",1414.615,16500.153,"NC",336413,"MALE",51
"21","001300",2018,7755,114,96394.752,"HONEYWELL INTERNATIONAL INC",1571.154,19246.604,"NC",336413,"MALE",52
"22","001300",2019,7397,113,125864.7,"HONEYWELL INTERNATIONAL INC",1600,20525.104,"NC",336413,"MALE",53
"23","001300",2020,6271,103,148209.36,"HONEYWELL INTERNATIONAL INC",1566.154,19075.281,"NC",336413,"MALE",54
"24","001300",2021,6769,99,142787.648,"HONEYWELL INTERNATIONAL INC",1675.616,26100.12,"NC",336413,"MALE",55
"25","001447",2010,6395,61,51375.24,"AMERICAN EXPRESS CO",1942.308,16813.272,"NY",522210,"MALE",58
"26","001447",2011,7594,62.5,54905.88,"AMERICAN EXPRESS CO",2000,23038.691,"NY",522210,"MALE",59
"27","001447",2012,8394,63.5,63515.4,"AMERICAN EXPRESS CO",2000,28491.734,"NY",522210,"MALE",60
"28","001447",2013,8861,62.8,96536.72,"AMERICAN EXPRESS CO",2000,21837.42,"NY",522210,"MALE",61
"29","001447",2014,8963,54,95179.92,"AMERICAN EXPRESS CO",2000,22796.083,"NY",522210,"MALE",62
"30","001447",2015,8968,54.8,67393.95,"AMERICAN EXPRESS CO",2000,21988.091,"NY",522210,"MALE",63
"31","001447",2016,8074,56.4,NA,"AMERICAN EXPRESS CO",2000,17463.639,"NY",522210,"MALE",64
"32","001447",2017,8297,55,NA,"AMERICAN EXPRESS CO",2038.462,18611.373,"NY",522210,"MALE",65
"33","001447",2018,8967,59,NA,"AMERICAN EXPRESS CO",1487.5,17341.442,"NY",522210,"MALE",58
"34","001447",2019,9582,64.5,NA,"AMERICAN EXPRESS CO",1500,23796.002,"NY",522210,"MALE",59
"35","001447",2020,4929,63.7,97332.55,"AMERICAN EXPRESS CO",1500,24221.319,"NY",522210,"MALE",60
"36","001447",2021,10121,64,124499.6,"AMERICAN EXPRESS CO",1500,25513.922,"NY",522210,"MALE",61
"37","001602",2010,5591,17.4,51166.8,"AMGEN INC",1748.846,21138.133,"CA",325414,"MALE",62
"38","001602",2011,5345,17.8,51085.476,"AMGEN INC",1791.462,18850.311,"CA",325414,"MALE",63
"39","001602",2012,6124,18,65193.06,"AMGEN INC",1262.308,13570.091,"CA",325414,"MALE",49
"40","001602",2013,6290,20,86084.768,"AMGEN INC",1490.769,13649.807,"CA",325414,"MALE",50
"41","001602",2014,6864,17.9,121124.116,"AMGEN INC",1505.769,13961.667,"CA",325414,"MALE",51
"42","001602",2015,8603,17.9,122396.82,"AMGEN INC",1505.769,16097.714,"CA",325414,"MALE",52
"43","001602",2016,9895,19.2,107932.222,"AMGEN INC",1531.731,16850.001,"CA",325414,"MALE",53
"44","001602",2017,10497,20.8,125590.58,"AMGEN INC",1555.962,16899.789,"CA",325414,"MALE",54
"45","001602",2018,10563,21.5,122564.232,"AMGEN INC",1566,18555.266,"CA",325414,"MALE",55
"46","001602",2019,9721,23.4,142568.798,"AMGEN INC",1600.923,19612.793,"CA",325414,"MALE",56
"47","001602",2020,9136,24.3,132962.736,"AMGEN INC",1647.538,20131.408,"CA",325414,"MALE",57
"48","001602",2021,9274,24.2,125600.751,"AMGEN INC",1674.061,21721.154,"CA",325414,"MALE",58
"49","001690",2010,18385,49.4,259906.4875,"APPLE INC",0.001,0.001,"CA",334220,"MALE",55
"50","001690",2011,33790,63.3,354351.9056,"APPLE INC",0.001,0.001,"CA",334220,"MALE",56
"51","001690",2012,55241,76.1,626550.3528,"APPLE INC",1357.718,4174.992,"CA",334220,"MALE",51
"52","001690",2013,48999,84.4,428699.7978,"APPLE INC",1400.006,4252.727,"CA",334220,"MALE",52
"53","001690",2014,52503,97,591015.7208,"APPLE INC",1748.462,9222.638,"CA",334220,"MALE",53
"54","001690",2015,71230,110,615336.4559,"APPLE INC",2000,10281.327,"CA",334220,"MALE",54
"55","001690",2016,59476,116,603253.5663,"APPLE INC",3000,8747.719,"CA",334220,"MALE",55
"56","001690",2017,61344,123,790050.0981,"APPLE INC",3057.692,12825.066,"CA",334220,"MALE",56
"57","001690",2018,70662,132,1073390.5396,"APPLE INC",3000,15682.219,"CA",334220,"MALE",57
"58","001690",2019,63930,137,995151.5669,"APPLE INC",3000,11555.466,"CA",334220,"MALE",58
"59","001690",2020,66288,147,1966078.923,"APPLE INC",3000,14769.259,"CA",334220,"MALE",59
"60","001690",2021,108949,154,2324390.219,"APPLE INC",3000,98734.394,"CA",334220,"MALE",60
"61","001690",2022,119437,164,2203381.335,"APPLE INC",3000,99420.097,"CA",334220,"MALE",61
"62","001891",2010,1768.2,47,19807.92,"AUTOMATIC DATA PROCESSING",1000,9121.933,"NJ",518210,"MALE",63
"63","001891",2011,1824.7,51,25855.344,"AUTOMATIC DATA PROCESSING",1000,8904.803,"NJ",518210,"MALE",64
"64","001891",2012,1959,57,26950.572,"AUTOMATIC DATA PROCESSING",729.744,5469.422,"NJ",518210,"MALE",48
"65","001891",2013,2039.9,60,33231.836,"AUTOMATIC DATA PROCESSING",850,6337.755,"NJ",518210,"MALE",49
"66","001891",2014,2222.7,61,38070.256,"AUTOMATIC DATA PROCESSING",900,8237.147,"NJ",518210,"MALE",50
"67","001891",2015,2014,55,37419.272,"AUTOMATIC DATA PROCESSING",1000,8281.535,"NJ",518210,"MALE",51
"68","001891",2016,2238.7,57,41865.159,"AUTOMATIC DATA PROCESSING",1000,10867.963,"NJ",518210,"MALE",52
"69","001891",2017,2405.9,58,45594.7,"AUTOMATIC DATA PROCESSING",1030,10635.7,"NJ",518210,"MALE",53
"70","001891",2018,2625.1,57,58860.632,"AUTOMATIC DATA PROCESSING",1055,12489.04,"NJ",518210,"MALE",54
"71","001891",2019,3080.8,58,71786.286,"AUTOMATIC DATA PROCESSING",1100,19000.187,"NJ",518210,"MALE",55
"72","001891",2020,3293.2,58,64007.811,"AUTOMATIC DATA PROCESSING",988.969,17645.648,"NJ",518210,"MALE",56
"73","001891",2021,3293.9,56,84155.294,"AUTOMATIC DATA PROCESSING",941.875,16985.259,"NJ",518210,"MALE",57
"74","001891",2022,3803.2,60,87397.644,"AUTOMATIC DATA PROCESSING",1164.2,20827.092,"NJ",518210,"MALE",58
"75","002136",2010,18616,194.4,101150.8829,"VERIZON COMMUNICATIONS INC",2100,31947.491,"NY",517312,"MALE",63
"76","002136",2011,12880,193.9,113700.7219,"VERIZON COMMUNICATIONS INC",2100,26455.107,"NY",517312,"MALE",64
"77","002136",2012,14139,183.4,123690.2806,"VERIZON COMMUNICATIONS INC",1400,14049.1,"NY",517312,"MALE",57
"78","002136",2013,31968,176.8,140638.68,"VERIZON COMMUNICATIONS INC",1480.769,15826.606,"NY",517312,"MALE",58
"79","002136",2014,19599,177.3,194369.2159,"VERIZON COMMUNICATIONS INC",1580.769,18306.509,"NY",517312,"MALE",59
"80","002136",2015,33060,177.7,188262.1485,"VERIZON COMMUNICATIONS INC",1661.538,18343.66,"NY",517312,"MALE",60
"81","002136",2016,26052,160.9,217613.3919,"VERIZON COMMUNICATIONS INC",1600,17674.579,"NY",517312,"MALE",61
"82","002136",2017,27206,155.4,215926.6647,"VERIZON COMMUNICATIONS INC",1600,17937.581,"NY",517312,"MALE",62
"83","002136",2018,29791,144.5,232302.8953,"VERIZON COMMUNICATIONS INC",1661.538,18637.867,"NY",517312,"MALE",63
"84","002136",2019,30303,135,253939.8392,"VERIZON COMMUNICATIONS INC",1500,18095.355,"NY",517312,"MALE",54
"85","002136",2020,28924,132.2,243115.1375,"VERIZON COMMUNICATIONS INC",1500,19097.582,"NY",517312,"MALE",55
"86","002136",2021,31742,118.4,218117.636,"VERIZON COMMUNICATIONS INC",1500,20342.871,"NY",517312,"MALE",56
"87","002176",2010,20452,260.519,NA,"BERKSHIRE HATHAWAY",100,524.946,"NE",999977,"MALE",80
"88","002176",2011,17860,270.929,189192.9109,"BERKSHIRE HATHAWAY",100,491.925,"NE",999977,"MALE",81
"89","002176",2012,24781,288.462,220625.7545,"BERKSHIRE HATHAWAY",100,423.923,"NE",999977,"MALE",82
"90","002176",2013,31744,301.745,292404.7315,"BERKSHIRE HATHAWAY",100,485.606,"NE",999977,"MALE",83
"91","002176",2014,31391,315.999,NA,"BERKSHIRE HATHAWAY",100,464.011,"NE",999977,"MALE",84
"92","002176",2015,38583,361.27,NA,"BERKSHIRE HATHAWAY",100,100,"NE",999977,"MALE",85
"93","002176",2016,36350,367.671,NA,"BERKSHIRE HATHAWAY",100,487.881,"NE",999977,"MALE",86
"94","002176",2017,26294,377.291,NA,"BERKSHIRE HATHAWAY",100,475.776,"NE",999977,"MALE",87
"95","002176",2018,10021,389.373,502273.8156,"BERKSHIRE HATHAWAY",100,388.968,"NE",999977,"MALE",88
"96","002176",2019,105481,391.539,NA,"BERKSHIRE HATHAWAY",100,374.773,"NE",999977,"MALE",89
"97","002176",2020,70016,360.174,NA,"BERKSHIRE HATHAWAY",100,380.328,"NE",999977,"MALE",90
"98","002176",2021,114863,371.653,663910.479,"BERKSHIRE HATHAWAY",100,373.204,"NE",999977,"MALE",91
"99","002285",2010,4913,160.5,47983.0023,"BOEING CO",1930,19740.023,"VA",336411,"MALE",61
"100","002285",2011,5670,171.7,54624.1118,"BOEING CO",1930,22958.313,"VA",336411,"MALE",62
"101","002285",2012,6127,174.4,56944.3522,"BOEING CO",1930,27484.138,"VA",336411,"MALE",63
"102","002285",2013,6809,168.4,102009.7597,"BOEING CO",1930,23263.562,"VA",336411,"MALE",64
"103","002285",2014,7599,165.5,91860.5054,"BOEING CO",2004.231,28861.92,"VA",336411,"MALE",65
"104","002285",2015,7234,161.4,96387.1642,"BOEING CO",1354.269,13226.333,"VA",336411,"MALE",51
"105","002285",2016,6832,150.5,96078.2234,"BOEING CO",1640.962,15066.29,"VA",336411,"MALE",52
"106","002285",2017,10123,140.8,174303.3115,"BOEING CO",1690.769,18450.416,"VA",336411,"MALE",53
"107","002285",2018,11870,153,183064.2225,"BOEING CO",1700,23392.187,"VA",336411,"MALE",54
"108","002285",2019,5952,161.1,183373.2358,"BOEING CO",2013.846,14250.195,"VA",336411,"MALE",55
"109","002285",2020,-9422,141,124651.4192,"BOEING CO",269.231,21074.052,"VA",336411,"MALE",62
"110","002285",2021,-1016,142,118560.7704,"BOEING CO",1400,21093.605,"VA",336411,"MALE",63
"111","002403",2010,6136,27,45121.92,"BRISTOL-MYERS SQUIBB CO",1347.868,11770.88,"NY",325412,"MALE",59
"112","002403",2011,6779,27,59555.6,"BRISTOL-MYERS SQUIBB CO",1510.192,14911.947,"NY",325412,"MALE",60
"113","002403",2012,4491,28,53382.42,"BRISTOL-MYERS SQUIBB CO",1623.077,17201.98,"NY",325412,"MALE",61
"114","002403",2013,3148,28,87644.35,"BRISTOL-MYERS SQUIBB CO",1686.539,20847.746,"NY",325412,"MALE",62
"115","002403",2014,3190,25,98048.83,"BRISTOL-MYERS SQUIBB CO",1700,27062.382,"NY",325412,"MALE",63
"116","002403",2015,2175,25,114810.51,"BRISTOL-MYERS SQUIBB CO",1052.692,8164.883,"NY",325412,"MALE",64
"117","002403",2016,4747,25,97711.68,"BRISTOL-MYERS SQUIBB CO",1513.077,16933.858,"NY",325412,"MALE",51
"118","002403",2017,4220,23.7,100070.24,"BRISTOL-MYERS SQUIBB CO",1587.5,18687.123,"NY",325412,"MALE",52
"119","002403",2018,5238,23.3,84831.36,"BRISTOL-MYERS SQUIBB CO",1637.5,19379.755,"NY",325412,"MALE",53
"120","002403",2019,6738,30,144491.69,"BRISTOL-MYERS SQUIBB CO",1650,18767.253,"NY",325412,"MALE",54
"121","002403",2020,6174,30.25,139195.32,"BRISTOL-MYERS SQUIBB CO",1687.115,20150.902,"NY",325412,"MALE",55
"122","002403",2021,8825,32.2,135673.6,"BRISTOL-MYERS SQUIBB CO",1700,19784.806,"NY",325412,"MALE",56
"123","002574",2010,3101,30,23927.7966,"CSX CORP",1100,9266.652,"FL",482111,"MALE",60
"124","002574",2011,3418,31,22095.2464,"CSX CORP",1100,8618.527,"FL",482111,"MALE",61
"125","002574",2012,3457,32.12,20134.1691,"CSX CORP",1100,8090.122,"FL",482111,"MALE",62
"126","002574",2013,3473,31.254,29024.9022,"CSX CORP",1164.855,12444.632,"FL",482111,"MALE",63
"127","002574",2014,3652,31.511,35925.3419,"CSX CORP",1200,10068.089,"FL",482111,"MALE",64
"128","002574",2015,3612,29.41,25055.0883,"CSX CORP",1200,9209.561,"FL",482111,"MALE",65
"129","002574",2016,3389,26.628,33349.5074,"CSX CORP",1200,13580.104,"FL",482111,"MALE",66
"130","002574",2017,3700,24.006,48950.7035,"CSX CORP",1885.703,151147.286,"FL",482111,"MALE",72
"131","002574",2018,4773,22.475,50833.5234,"CSX CORP",1220.833,13770.601,"FL",482111,"MALE",64
"132","002574",2019,4874,20.908,55968.3616,"CSX CORP",1250,15527.533,"FL",482111,"MALE",65
