treated,welfare_a,pres,year
0,-1,1,2018
0,0,1,2016
0,-1,0,2016
0,0,0,2018
0,-1,1,2018
0,0,0,2018
0,0,0,2016
0,-1,0,2018
0,1,1,2016
0,0,1,2016
0,-1,1,2018
0,-1,0,2018
0,-1,0,2016
0,-1,0,2018
0,-1,1,2018
0,0,1,2016
0,0,0,2016
0,0,0,2016
0,-1,0,2018
0,-1,0,2018
0,-1,1,2018
0,-1,0,2018
0,-1,0,2016
0,-1,1,2018
0,-1,0,2018
0,-1,0,2018
0,-1,1,2018
0,-1,1,2016
0,0,0,2018
0,0,0,2016
0,-1,1,2016
0,1,0,2018
0,-1,1,2016
0,0,1,2016
0,0,1,2016
0,0,1,2016
0,0,0,2016
0,1,1,2016
0,0,0,2016
0,0,1,2016
0,-1,0,2018
0,1,0,2016
0,0,0,2016
0,-1,1,2016
0,-1,0,2018
0,-1,1,2016
0,1,0,2018
0,-1,0,2018
0,0,1,2016
0,0,1,2016
0,-1,0,2018
0,-1,1,2016
0,-1,1,2016
0,-1,0,2016
0,-1,1,2016
0,0,0,2018
0,0,0,2018
0,-1,0,2018
0,0,0,2018
0,0,0,2016
0,0,0,2018
0,0,0,2018
0,-1,0,2016
0,0,1,2018
0,0,1,2016
0,0,1,2018
0,0,0,2018
0,-1,0,2016
0,0,0,2018
0,0,1,2016
0,0,0,2018
0,0,0,2018
0,-1,0,2018
0,1,1,2016
0,0,0,2018
0,1,0,2016
0,0,0,2018
0,0,1,2018
0,0,1,2016
0,0,1,2016
0,0,0,2018
0,-1,0,2018
0,0,1,2016
0,1,1,2016
0,-1,1,2018
0,-1,0,2016
0,0,0,2016
0,1,NA,2018
0,-1,0,2016
0,-1,0,2016
0,-1,NA,2018
0,-1,NA,2018
0,0,0,2016
0,0,0,2016
0,-1,1,2018
0,1,0,2016
0,-1,0,2016
0,-1,0,2018
0,1,1,2018
0,-1,1,2018
0,1,1,2016
0,0,0,2018
0,-1,1,2016
0,0,1,2016
0,0,0,2018
0,1,1,2016
0,1,0,2018
0,0,0,2016
0,0,0,2018
0,-1,NA,2018
0,0,0,2016
0,0,0,2016
0,0,1,2018
0,-1,NA,2018
0,0,0,2016
0,-1,NA,2018
0,-1,1,2016
0,-1,1,2018
0,0,0,2018
0,0,0,2018
0,0,1,2018
0,1,0,2018
0,-1,1,2016
0,-1,1,2016
0,0,1,2016
0,0,1,2016
0,0,1,2016
0,-1,1,2018
0,-1,0,2018
0,0,0,2018
0,-1,NA,2018
0,0,0,2018
0,1,1,2016
0,-1,0,2018
0,-1,0,2018
0,-1,1,2018
0,0,0,2018
0,0,0,2016
0,0,0,2018
0,0,0,2018
0,-1,1,2018
0,1,0,2016
0,-1,NA,2018
0,0,0,2016
0,1,1,2016
0,0,1,2016
0,0,0,2018
0,1,1,2016
0,-1,1,2018
0,1,1,2018
0,0,1,2016
0,0,0,2016
0,-1,1,2016
0,0,0,2018
0,0,0,2016
0,0,1,2016
0,0,1,2016
0,-1,NA,2018
0,-1,0,2016
0,0,0,2016
0,-1,0,2018
0,1,0,2016
0,-1,0,2016
