techzip2,groupcat1,groupcat2,group_placzcat21,group_placzcat22,group_placzcat23,indian_traits,threatened2,dscore2,female,age,married,pid,educ,racewhite,income2,h1bvisas_scale,agesq,h1bvisas_indicator
0,0,0,0,1,0,.30000001,0,.33727825,1,.18055555,1,.40000001,1,1,1,1,.032600306,1
0,1,0,1,0,0,.34999999,.5,.56950074,0,.6388889,0,0,.40000001,1,.44444445,.75,.40817901,1
1,1,0,1,0,0,.25,1,.59663379,1,.70833331,1,.60000002,.80000001,1,.66666669,.25,.5017361,0
1,1,0,1,0,0,.85000002,1,.73982787,0,.43055555,0,.40000001,.2,1,.55555558,0,.18537809,0
0,0,0,0,0,0,.25,1,.44127497,1,.59722221,0,.2,.60000002,1,.55555558,.5,.35667437,1
0,1,0,1,0,0,.44999999,.75,.33259383,1,.40277779,0,.2,.40000001,0,0,.5,.16222996,1
0,1,0,1,0,0,.55000001,0,.2168887,0,.68055558,1,0,.40000001,1,.77777779,1,.4631559,1
0,1,0,1,0,0,.5,.5,.8114447,0,.34722221,0,.40000001,1,0,0,0,.12056326,0
1,0,0,0,0,0,.30000001,.25,.61810988,1,.33333334,0,0,.40000001,0,.22222222,.25,.11111112,0
1,1,0,1,0,0,.25,.75,.43285766,1,.29166666,1,.40000001,.40000001,0,.33333334,.5,.08506944,1
1,0,0,0,1,0,.85000002,0,.78555012,1,.11111111,0,.40000001,1,1,.8888889,1,.012345679,1
1,0,0,0,0,0,.44999999,.5,.86717522,0,.33333334,0,0,.2,0,0,1,.11111112,1
1,1,0,1,0,0,.40000001,1,.5877586,1,.30555555,1,1,0,0,.44444445,0,.093364194,0
1,0,0,0,0,0,.25,0,.38963556,0,.31944445,0,.2,.40000001,0,.22222222,.5,.10204475,1
1,1,0,1,0,0,.5,.25,.52997923,0,.3888889,0,.40000001,.2,0,0,.25,.15123457,0
1,1,0,1,0,0,,.5,.49162605,0,.013888889,0,.80000001,.2,1,0,.25,.00019290124,0
1,1,0,1,0,0,.25,.25,.7051416,0,.7638889,0,0,.40000001,1,.33333334,.75,.58352625,1
1,0,0,0,0,0,0,0,.49864244,1,.2638889,0,.40000001,.80000001,1,.44444445,.5,.069637351,1
1,0,0,0,0,0,.25,.75,.71519321,1,.5,0,.2,.80000001,1,.11111111,0,.25,0
1,0,0,0,0,0,,0,.40944415,0,.55555558,0,0,1,1,0,0,.308642,0
1,0,1,0,0,1,,.5,.41487321,1,.31944445,0,.2,.40000001,1,.44444445,0,.10204475,0
1,1,0,1,0,0,.15000001,0,.56061077,0,.59722221,0,.40000001,.80000001,1,.44444445,.25,.35667437,0
