state,dist,incumbent,repvoteshare,repspending,demspending,trumpvoteshare,lagrepvoteshare
"AL",1,"R",.632,13.63492,12.02483,.6506,1
"AL",2,"R",.615,14.63857,13.17104,.6629,.5462
"AL",3,"R",.6375999,14.11434,13.04866,.6691,.6702
"AL",4,"R",.7985,14.07816,11.25872,.8221,1
"AL",5,"R",.6107,14.51165,13.28319,.674,.6679
"AL",6,"R",.6921,14.21855,12.56874,.7307,.7456
"AK",1,"R",.5331,14.14315,14.47995,.5836,.5828
"AZ",1,"D",.4616,14.17117,14.83083,.5058,.4612
"AZ",3,"D",.3613,11.17944,13.50531,.3425,0
"AZ",4,"R",.6908,13.2624,13.1604,.7111,.7145
"AZ",5,"R",.5942,13.22306,12.20188,.6121,.641
"AZ",6,"R",.5519,14.3887,12.8784,.5527,.6213
"AZ",8,"R",.5546,14.52484,15.31499,.6109,1
"AR",1,"R",.7056,13.78156,11.82886,.6828,1
"AR",2,"R",.5322,15.07864,14.67385,.5569,.6131001
"AR",3,"R",.6649,14.01307,12.4883,.6699,1
"AR",4,"R",.6812,14.07567,11.95151,.6723,1
"CA",1,"R",.5489,13.90687,13.90931,.6063,.5905
"CA",2,"D",.2299,8.224163,13.50267,.2524,.2315
"CA",3,"D",.4193,10.2095,13.64049,.4325,.4065
"CA",4,"R",.5413,14.40349,15.12683,.5788,.6272
"CA",7,"D",.4496,13.21739,14.38598,.4388,.4883
"CA",9,"D",.4351,11.48724,14.06688,.4017,.4264
"CA",10,"R",.4775,15.41126,15.94627,.484,.517
"CA",11,"D",.2587,0,13.10014,.241,.2794999
"CA",12,"D",.1318,10.01878,15.50893,.0917,0
"CA",14,"D",.2078,0,13.48664,.1914,.1914
"CA",15,"D",.2703,10.94745,14.71649,.2572,.2623
"CA",16,"D",.4245,14.02729,14.67569,.3856,.4197
"CA",17,"D",.2465,8.186186,14.46895,.2172,0
"CA",18,"D",.2551,0,14.12439,.2158,.2885
"CA",19,"D",.2625,10.01046,14.44272,.2278,.2606
"CA",21,"R",.4962,15.00017,14.88751,.4183,.5674
"CA",22,"R",.5272,16.26923,16.036,.5502,.6757
"CA",23,"R",.6372,15.92564,11.57443,.6168,.6918
"CA",24,"D",.4144,14.22961,14.54673,.3916,.4658
"CA",25,"R",.4563,14.78318,15.95617,.4643,.5313
"CA",26,"D",.3806,12.76633,14.39665,.3834,.3962
"CA",28,"D",.2163,10.50051,15.1132,.2362,.2201
"CA",29,"D",.1939,9.045112,14.21025,.1778,0
"CA",30,"D",.266,0,13.21602,.2711,.2736
"CA",31,"D",.4126,14.15135,14.71992,.3881,.4393
"CA",32,"D",.3122,8.602636,12.42524,.2937,0
"CA",33,"D",.2997,11.99198,13.78957,.281,.3356
"CA",35,"D",.306,8.539346,13.35101,.2844,.2761
"CA",36,"D",.4098,13.64462,14.73674,.454,.3795
"CA",37,"D",.1092,9.22513,13.62866,.1007,0
"CA",38,"D",.3115,0,14.16302,.2903,.2952
"CA",41,"D",.349,10.68403,13.91143,.3518,.3505
"CA",42,"R",.565,14.29846,11.91782,.5633,.5882
"CA",43,"D",.2233,13.85981,14.14414,.1756,.2392
"CA",45,"R",.4795,15.47952,15.7458,.4713,.5856
"CA",46,"D",.3085,0,13.24523,.2962,0
"CA",47,"D",.3514,10.78183,13.35613,.3312,.3628
"CA",48,"R",.4645,14.90743,15.95248,.491,.5832
"CA",50,"R",.5172,14.41598,15.22169,.5796,.6345
"CA",51,"D",.288,11.16452,13.69569,.241,.2725
"CA",52,"D",.3615,12.82883,14.54079,.3799,.4347
"CA",53,"D",.3093,11.45712,13.05235,.3146,.3299
"CO",1,"D",.2379,10.47917,14.00616,.2516,.2899
"CO",3,"R",.5419,14.32811,14.46043,.5652,.5750999
"CO",4,"R",.6062,13.40788,13.76728,.626,.6675
"CO",5,"R",.5919,13.56737,12.69814,.6327,.6687
"CO",6,"R",.4421,15.15679,15.55021,.4514,.5444
"CO",7,"D",.3696,10.91469,14.19589,.4339,.419
"CT",1,"D",.3542,0,14.34411,.3793,.3449
"CT",2,"D",.3631,0,13.8439,.4847,.3474
"CT",3,"D",.354,0,14.08087,.4195,.3096
"CT",4,"D",.3879,13.53418,14.34679,.3805,.401
"DE",1,"D",.3555,0,13.99457,.4397,.4245
"FL",1,"R",.6706001,14.04992,11.08942,.7053,.691
"FL",2,"R",.6744,13.81379,12.45776,.6839,.6922
"FL",3,"R",.5762,13.59057,11.04613,.583,.5871
"FL",4,"R",.6682,13.13856,11.64662,.6455,.7177
"FL",5,"D",.3322,10.60693,13.38661,.3693,.3577
"FL",7,"D",.4231,13.91392,14.96486,.4618,.4852
"FL",8,"R",.605,13.89871,12.73072,.6077,.6597
"FL",9,"D",.4198,11.17758,14.2436,.4333,.4252
"FL",11,"R",.6515,13.17035,11.37785,.666,.6741
"FL",12,"R",.5943,14.55649,13.55361,.5967,.6859
"FL",13,"D",.4236,10.65773,14.39265,.4833,.481
"FL",16,"R",.5456001,15.29248,14.77728,.5553,.5977
"FL",18,"R",.543,15.61514,15.34155,.5472,.5544
"FL",19,"R",.6227,13.74012,13.23054,.6138,.659
"FL",22,"D",.3798,12.22015,14.05814,.4192,.4106
"FL",23,"D",.3809,13.12158,14.50203,.3664,.4166
"FL",25,"R",.6045,14.78598,14.60472,.5087,.6236
"FL",26,"R",.4913,15.45108,15.34495,.4173,.5626
"GA",1,"R",.5774,14.19176,12.23513,.5797,1
"GA",2,"D",.4035,9.747477,14.01803,.4405,.3877
"GA",3,"R",.6553,13.98638,10.9268,.6622,.6835
"GA",4,"D",.2115,11.3149,13.13906,.2277,.2428
"GA",6,"R",.4949,15.97714,14.72591,.5079,.6168
"GA",7,"R",.5008,14.23043,14.84556,.5328,.6038
"GA",9,"R",.7951,13.53888,11.45604,.8012,1
