Country,DeathsRespitory,PropCleanCooking,Continent,IndoorAirDeath,GDPperCap,Population
Afghanistan,272.52,27.4,Asia,208.06,2068.265869,33753500
Albania,49.66,76.2,Europe,21.27,11878.4541,2882482
Algeria,26.34,99.5,Africa,0.43,11696.9502,39543148
Andorra,1.16,100,Europe,0.02,NA,71766
Angola,162.51,47.2,Africa,93.22,8036.411133,28127724
Antigua and Barbuda,22.39,100,North America,0.78,18594.54492,89958
Argentina,15.11,99.7,South America,1.67,23933.88672,43257064
Armenia,61.22,97.8,Asia,2.77,11321.33301,2878598
Australia,2.16,100,Oceania,0.04,47569.29297,23820240
Austria,1.08,100,Europe,0.06,52873.85938,8642422
Azerbaijan,222.83,95.9,Asia,12.98,14852.61133,9863485
Bahamas,21.47,100,North America,0.72,36023.59375,392707
Bahrain,4.6,100,Asia,0.46,48110.73438,1362157
Bangladesh,125.14,18.3,Asia,93.38,3700.11084,157830000
Barbados,15.84,100,North America,0.05,15382.76563,278095
Belarus,5.66,99.3,Europe,0.81,18362.74609,9700609
Belgium,1.61,100,Europe,0.03,49456.39844,11248306
Belize,36.74,82.9,North America,14.04,7358.618652,359884
Benin,308.47,4.3,Africa,161.9,2945.970215,10932791
Bermuda,4.95,NA,North America,0.7,77842.75,63165
Bhutan,99.06,75,Asia,80.01,10086.07324,743284
Bolivia,143.54,82.7,South America,37.55,7984.412109,11090090
Bosnia and Herzegovina,3.73,43.9,Europe,23.98,12630.66699,3524328
Botswana,133.13,61.7,Africa,61.19,14895.90527,2305177
Brazil,39.19,95.4,South America,8.62,15064.17578,205188208
Brunei,14.56,100,Asia,0.49,63147.48438,421449
Bulgaria,23.83,NA,Europe,14.16,19988.22461,7309255
Burkina Faso,445.31,8.1,Africa,183.06,1925.332031,18718022
Burundi,168.03,0.2,Africa,196.13,825.2056885,10727153
Cambodia,251.27,20.3,Asia,148.67,3541.376709,15417527
Cameroon,227.13,22,Africa,104.76,3570.424561,23012650
Canada,1.84,100,North America,0.01,47522.14063,35732120
Cape Verde,40.83,75.5,Africa,26.46,6266.881836,552169
Central African Republic,477.75,0.6,Africa,266.2,852.7492065,4819341
Chad,475.67,4.1,Africa,211.15,1857.10791,14140277
Chile,6.05,100,South America,1.86,24440.41602,17870122
China,29.89,68.4,Asia,30.06,12612.35156,1393715456
Colombia,33.32,89.75,South America,6.61,14095.74805,47119728
Comoros,218.77,5.7,Africa,127.99,2959.498047,730221
Congo,68.61,25.4,Africa,83.71,5224.302246,5064390
Cook Islands,9.41,78.45,Oceania,3.71,NA,17720
Costa Rica,10.09,94.3,North America,2.54,19141.68359,4895241
Cote d'Ivoire,311.6,23.1,Africa,141.27,4417.150391,23596738
Croatia,1.68,100,Europe,2.47,24884.66602,4254821
Cuba,11.48,92.65,North America,1.46,NA,11339888
Cyprus,1.07,100,Europe,0.06,34453.11719,1187286
Czechia,3.05,100,Europe,0.47,36168.41797,10523801
Democratic Republic of Congo,166.45,3.7,Africa,176.88,1065.242432,78656904
Denmark,1.36,100,Europe,0.02,52892.64453,5677795
Djibouti,202.22,8.4,Africa,41,4488.802734,1006266
Dominica,36.14,89.3,North America,5.69,11873.74219,70027
Dominican Republic,37.99,89,North America,14.95,15328.35938,10405832
Ecuador,47.74,94.4,South America,4.69,11896.375,16195904
Egypt,93.19,99.8,Africa,0.26,10570.44531,97723792
El Salvador,28.3,85.5,North America,16.88,8143.326172,6231072
Equatorial Guinea,58.59,24,Africa,26.39,28313.43359,1346974
Eritrea,187.65,9,Africa,159.56,NA,3340005
Estonia,6.26,100,Europe,1.76,31038.80469,1314658
Eswatini,199.42,47.6,Africa,104.22,8307.782227,1133941
Ethiopia,164.03,4.3,Africa,144.99,1779.084106,102471896
Fiji,55.39,40.3,Oceania,58.26,12569.06445,917209
Finland,0.39,100,Europe,0.02,45072.58984,5479457
France,1.03,100,Europe,0.03,43345.78516,63809768
Gabon,52.95,85.6,Africa,12.39,15510.03906,2028524
Gambia,107.53,2,Africa,147.29,2058.658203,2253137
Georgia,17.46,79.3,Asia,30.31,12605.13965,3771135
Germany,1.12,100,Europe,0.02,51159.29688,82073232
Ghana,125.21,21.1,Africa,87.31,4785.994629,28870946
Greece,3.51,100,Europe,0.18,28260.38672,10806644
Grenada,36.93,91.2,North America,3.18,15142.0625,118994
Guatemala,149.84,42.7,North America,60.27,8125.655762,16001105
Guinea,424.23,1,Africa,207.28,2087.935059,11626003
Guinea-Bissau,148.17,1.1,Africa,219.92,1800.063354,1788931
Guyana,47.29,72.8,South America,13.53,11261.7793,755043
Haiti,253.17,4,North America,189.33,3102.344971,10563762
Honduras,27.51,45.9,North America,80.61,5283.416992,9294510
Hungary,5.41,100,Europe,8.75,27531.64453,9844250
Iceland,1.45,100,Europe,0.02,52142.93359,331068
India,156.48,48.2,Asia,75.56,5464.394043,1322866560
Indonesia,59.13,67.1,Asia,55.47,10149.60352,259091968
Iran,18.71,96.6,Asia,0.27,12698.10938,81790848
Iraq,31.99,98.1,Asia,0.67,9946.976563,37757812
Ireland,1.13,100,Europe,0.04,71508.73438,4665764
Israel,1.76,100,Asia,0.04,37306.13281,8007777
Italy,1.22,100,Europe,0.09,40247.82813,60232908
Jamaica,11.66,85.4,North America,8.78,9473.106445,2794455
Japan,2.83,100,Asia,0.03,40402.58203,127250936
Jordan,29.09,99.9,Asia,0.04,10145.83691,9494250
Kazakhstan,38.71,93.3,Asia,13.38,24290.41797,17835908
Kenya,128.27,11.6,Africa,106.98,4075.501953,46851496
Kiribati,60.5,5.7,Oceania,218.21,2168.999268,116717
Kuwait,13.79,100,Asia,0.03,54834.39063,3908745
Kyrgyzstan,69.78,76.3,Asia,47.92,4805.141113,5914985
Laos,260.75,5.7,Asia,171.12,6543.670898,6787420
Latvia,7.27,100,Europe,3.08,26628.45898,1991951
Lebanon,10.38,NA,Asia,0.32,16358.37598,6398941
Lesotho,259.3,36.5,Africa,159.04,2701.421875,2118532
Liberia,123.09,0.4,Africa,135.64,1630.584351,4612330
Libya,12.68,NA,Africa,0.25,11022.42969,6192241
