Country,Code,Year,HDI,CPI,Pop,PctBribe,ParkingViolations,AvgSchooling,Democracy
Afghanistan,AFG,2013,0.474,8,31541216,46,NA,3.5,0
Albania,ALB,2013,0.785,31,2887019,NA,85.5,9.7,1
Algeria,DZA,2013,0.731,36,38000628,41,25.6,7.8,0
American Samoa,ASM,2013,NA,NA,53017,NA,NA,NA,NA
Andorra,AND,2013,0.864,NA,71385,NA,NA,10.2,1
Angola,AGO,2013,0.552,23,26147012,NA,82.7,4.9,0
Anguilla,AIA,2013,NA,NA,13727,NA,NA,NA,NA
Antigua and Barbuda,ATG,2013,0.787,NA,88512,NA,NA,9.2,1
Argentina,ARG,2013,0.845,34,42388268,13,4,9.8,1
Armenia,ARM,2013,0.76,36,2901386,18,10.2,11.4,0
Aruba,ABW,2013,NA,NA,102891,NA,NA,NA,NA
Australia,AUS,2013,0.929,81,23111788,1,0,12.6,1
Austria,AUT,2013,0.905,69,8479542,NA,2.2,11.9,1
Azerbaijan,AZE,2013,0.741,28,9614478,NA,0,10.8,0
Bahamas,BHS,2013,0.816,71,385660,NA,NA,11.1,1
Bahrain,BHR,2013,0.824,48,1261683,NA,38.2,9,0
Bangladesh,BGD,2013,0.574,27,154030144,39,33.4,5.1,1
Barbados,BRB,2013,0.787,75,276873,NA,NA,10.5,1
Belarus,BLR,2013,0.808,29,9691143,NA,2.7,12,0
Belgium,BEL,2013,0.916,75,11103260,4,2.7,11.4,1
Belize,BLZ,2013,0.712,NA,344695,NA,NA,10.5,1
Benin,BEN,2013,0.52,36,10308730,NA,50.4,3.2,1
Bermuda,BMU,2013,NA,NA,63527,NA,NA,NA,NA
Bhutan,BTN,2013,0.606,63,728898,NA,18.6,2.8,0
Bolivia,BOL,2013,0.682,34,10743352,36,3.1,8.4,1
Bonaire Sint Eustatius and Saba,BES,2013,NA,NA,22026,NA,NA,NA,NA
Bosnia and Herzegovina,BIH,2013,0.751,42,3617564,28,34.9,8.7,1
