cds7_ID,year,baseline_enroll_ratio,baseline_freelunch,studentachievement,baseline_achievement,minoritycandidate_electoral_result
1061994,2009,0.54587156,0.62385321,-0.19144189,NA,0.22689077
1062000,2009,0.69041097,0.78356165,0.0088137686,NA,-0.072351426
1062109,2007,0.34513277,0.24778761,NA,NA,-0.11981566
1062117,2003,0.36424416,NA,NA,NA,-0.47055197
1062117,2009,0.42142922,0.27184606,0.045864612,0.4636437,-0.55561435
1062125,2002,0.7067225,NA,NA,NA,0.10769233
1062125,2008,0.77121246,0.66485465,-0.042122811,-0.41583347,0.42857143
1062125,2009,0.78458679,0.63927579,0.015538812,-0.46970665,0.11468104
1062166,2001,0.78510809,NA,NA,NA,-0.057595611
1062166,2005,0.78984588,0.60427088,NA,NA,-0.067153156
1062166,2007,0.80855685,0.73697847,NA,NA,0.050525069
1062166,2007,0.80855685,0.73697847,NA,NA,0.25751665
1062166,2009,0.82537341,0.79100335,0.13826162,-0.43857327,-0.028530896
1062166,2011,0.84457153,0.81536067,0.11891651,-0.42120501,0.1332716
1062166,2011,0.84457153,0.81536067,0.11891651,-0.42120501,-0.12531757
1062166,2013,0.85346586,0.78612345,0.056721181,-0.34480628,-0.1653825
1062166,2013,0.85346586,0.78612345,0.056721181,-0.34480628,-0.080682278
1062166,2015,0.86305451,0.80583823,NA,-0.28391686,-0.12404141
1062174,2001,0.9918946,NA,NA,NA,0.022094138
1062240,2001,0.47647351,NA,NA,NA,-0.011523128
1062240,2007,0.49830014,0.40456533,NA,NA,-0.062091008
1062240,2007,0.49830014,0.40456533,NA,NA,-0.066398397
1062257,2013,0.53545237,0.17359413,NA,NA,0.069899529
1062281,2007,0.77608144,0.77226466,NA,NA,-0.025723487
1062281,2013,0.82608694,0.76214832,-0.050624639,NA,-0.042767897
1062281,2015,0.95329672,0.85302198,NA,NA,-0.10457517
1062331,2005,0.93565685,0.922252,NA,NA,-0.12299465
1062331,2011,0.9612903,0.93870968,-0.010775983,NA,0.035294116
1062331,2011,0.9612903,0.93870968,-0.010775983,NA,0.3922652
1062364,2007,0.99749374,0.99436092,NA,NA,0.10442215
1062380,2003,0.86956525,NA,NA,NA,0.012032092
1062380,2003,0.86956525,NA,NA,NA,0.29310346
1062380,2007,0.83268481,0.96498054,NA,NA,-0.05325444
1062380,2009,0.88363636,0.79272729,-0.025193572,NA,-0.19533527
1062380,2015,0.94444442,0.65359479,NA,NA,-0.033395171
1062414,2001,0.76678956,NA,NA,NA,0.012468815
1062414,2003,0.75976563,NA,NA,NA,0.20660147
1062414,2003,0.75976563,NA,NA,NA,0.1873199
1062414,2005,0.77301091,0.55694228,NA,NA,0.27334082
1062414,2015,0.83039713,0.72059804,NA,0.12179411,-0.57632136
1062414,2015,0.83039713,0.72059804,NA,0.12179411,-0.21928462
1062430,2005,0.83913124,0.70139503,NA,NA,0.020554155
1062430,2009,0.88227558,0.7885564,0.13020262,-0.21745589,0.0019383729
1062430,2011,0.89375192,0.68264771,0.12488844,-0.1613631,-0.02777487
1062430,2013,0.90972221,0.74722224,0.072164372,-0.10600292,-0.0087154806
1062513,2001,0.74266362,NA,NA,NA,-0.024311185
1062521,2001,0.78588051,NA,NA,NA,-0.13152352
1062521,2015,0.8942548,0.90258116,NA,NA,0.007706061
1062521,2015,0.8942548,0.90258116,NA,NA,0.18840578
1062521,2015,0.8942548,0.90258116,NA,NA,-0.28421053
1062539,2003,0.86834735,NA,NA,NA,-0.011577427
1062539,2007,0.81142241,0.27370688,NA,NA,0.084905669
1062547,2010,0.98972601,0.90753424,-0.096087277,NA,-0.0024093688
1073809,2013,0.94421953,0.85425103,0.066131413,NA,-0.014590338
1073965,2003,0.62501335,NA,NA,NA,-0.22209644
1073965,2003,0.62501335,NA,NA,NA,0.28831899
1073965,2011,0.73940063,0.45669788,0.089908838,-0.11771848,-0.057826757
1073965,2011,0.73940063,0.45669788,0.089908838,-0.11771848,-0.023112804
1073965,2011,0.73940063,0.45669788,0.089908838,-0.11771848,0.17474613
1073965,2013,0.7706629,0.53794074,0.10573649,-0.15822738,-0.041513681
1073999,2007,0.81767493,0.76860887,NA,NA,0.31280386
1073999,2011,0.85120577,0.78783989,0.10593625,-0.17469211,-0.45588234
1073999,2011,0.85120577,0.78783989,0.10593625,-0.17469211,0.22968197
1073999,2013,0.86777252,0.64597154,-0.096132472,-0.10834046,0.49955076
1073999,2015,0.8760826,0.77619892,NA,0.0050945804,-0.21907601
1073999,2015,0.8760826,0.77619892,NA,0.0050945804,0.12371132
1075234,2001,0.93953252,NA,NA,NA,0.22680414
1075234,2001,0.93953252,NA,NA,NA,-0.087546229
1075234,2003,0.94153225,NA,NA,NA,-0.1951952
1075234,2003,0.94153225,NA,NA,NA,-0.14432991
1075234,2003,0.94153225,NA,NA,NA,-0.16200292
1075234,2007,0.97230929,0.86833858,NA,NA,-0.12803888
1075234,2007,0.97230929,0.86833858,NA,NA,-0.14900661
1075234,2011,0.96910572,0.98373985,-0.011852354,NA,0.14720809
1075234,2011,0.96910572,0.98373985,-0.011852354,NA,-0.067226887
1075234,2015,NA,NA,NA,NA,0.34023666
1075234,2015,NA,NA,NA,NA,0.16129032
1075275,2005,0.19982845,0.29459691,NA,NA,-0.0053568035
1075408,2011,0.78814626,0.7824716,0.11448988,-0.074643299,-0.1264368
1075408,2015,0.81452143,0.81716174,NA,0.032709625,-0.18828452
1075598,2009,0.78566647,0.86202276,0.2058925,-0.34036326,-0.043894231
1075598,2011,0.79395604,0.8125,0.098172545,-0.26018879,0.034309253
1075598,2015,0.84873325,0.87928462,NA,NA,-0.090774894
1162570,2002,0.88396627,NA,NA,NA,0.28676471
1162570,2003,0.87659574,NA,NA,NA,0.066400006
1162570,2008,0.90131581,0.84868419,-0.041220576,NA,0.10554090000000001
1162570,2011,0.94834709,0,NA,NA,-0.022441655
1162646,2013,0.56696427,0.33035713,NA,NA,-0.21818182
1162661,2015,0.51752824,0.61021984,NA,-0.25549152,0.02569738
1262893,2008,0.17831326,0.12289157,-0.067370951,NA,0.11713031
1263032,2001,0.19478261,NA,NA,NA,0.10431728
1263032,2005,0.19244605,0.63848919,NA,NA,0.16174231
1263032,2009,0.21158129,0.59020042,-0.27839556,NA,-0.0086558163
1263032,2013,0.33865249,0.53546101,0.060124204,NA,0.037204683
1363073,2004,0.85611701,0.69015956,NA,NA,-0.046926811
1363073,2008,0.88590425,0.69441491,-0.063644171,-0.14024283,0.034973636
1363073,2010,0.89451367,0.72064668,-0.069434419,-0.21207705,0.053160921
1363073,2012,0.91896272,0.74257159,-0.044258595,-0.1934001,-0.095331624
1363073,2016,0.939089,0.79089463,NA,-0.2782979,0.037345514
1363081,2006,0.81919909,0.40812722,NA,NA,0.0085106343
1363081,2008,0.86366165,0.44574291,NA,NA,-0.0039460808
1363081,2010,0.88049662,0.1422659,NA,NA,0.068685055
1363099,2005,0.99298608,0.83413428,NA,NA,0.052369803
1363099,2013,0.99472153,0.70063555,-0.12487611,NA,0.040933743
1363107,2002,0.78365046,NA,NA,NA,-0.0032336265
1363107,2004,0.81914896,0.68156028,NA,NA,-0.0023946315
1363107,2012,0.87833333,0.79333335,-0.067144036,NA,0.013521463
1363107,2014,0.89579833,0.96806723,NA,NA,-0.053398058
1363123,2001,0.902264,NA,NA,NA,0.011209309
1363123,2006,0.91369337,0.71166825,NA,NA,0.026934594
1363123,2008,0.92415231,0.72215974,0.064061895,-0.19831669,-0.024981737
1363123,2016,0.94818121,0.79855871,NA,-0.16111761,-0.08897154
1363164,2002,0.64920998,NA,NA,NA,-0.01551044
1363164,2003,0.64654028,NA,NA,NA,-0.0057995021
1363164,2004,0.66441822,0.42369309,NA,NA,-0.10956788
1363164,2006,0.6841687,0.36077964,NA,NA,0.033033028
1363164,2008,0.71488231,0.32611996,0.060063921,0.057022005,0.10649088
1363164,2014,0.79039425,0.41948918,NA,0.035272777,-0.015212983
1363180,2008,0.58867925,0.24339622,0.17735624,0.11314104,0.027180076
1363214,2008,0.90387017,0.72409487,0.10534731,NA,-0.02439025
1363214,2012,0.91361254,0.98429322,-0.21201056,NA,0.042372882
1363214,2014,0.95040214,0.9839142,NA,NA,-0.11111112
1363222,2015,0.90588236,0.9929412,NA,NA,-0.088288292
1363230,2004,0.91363639,0.94999999,NA,NA,-0.049618319
1363230,2014,0.91758239,0.8901099,NA,NA,-0.014285713
1363230,2016,0.93565685,0.91443849,NA,NA,0.055876687
1563313,2007,0.95566863,0.88699126,NA,NA,0.011360049
1563313,2009,0.9612245,0.69999999,-0.079878926,NA,-0.0087237358
1563313,2009,0.9612245,0.69999999,-0.079878926,NA,0.26900268
1563313,2013,0.96829712,0.94172704,0.25097656,NA,-0.024183795
1563313,2015,0.97520906,0.88918757,NA,NA,0.23959827
1563321,2001,0.78160876,NA,NA,NA,-0.0236305
1563321,2007,0.80937922,0.84738195,NA,NA,-0.067187592
1563321,2011,0.86102545,0.87472212,0.089884371,-0.44077772,-0.030677736
1563339,2009,0.27562028,0.82362461,-0.127232,0.48956761,-0.22777255
1563347,2005,0.76666665,0.81666666,NA,NA,0.028571457
1563404,2003,0.96279144,NA,NA,NA,0.0035999566
1563404,2009,0.98404253,0.99631751,0.076489002,-0.41885683,0.06686686
1563404,2015,0.98411047,0.83589476,NA,NA,-0.018137962
1563412,2001,0.96625966,NA,NA,NA,-0.077687263
1563412,2007,0.97225398,0.76115561,NA,NA,0.0045693666
1563412,2009,0.97078252,0.72230691,NA,NA,-0.09847866
1563446,2005,0.16438359,0.9041096,NA,NA,-0.24324328
1563479,2005,0.2239396,0.19949676,NA,NA,-0.010689408
1563479,2007,0.26207608,0.19801302,NA,NA,-0.0035700202
1563529,2003,0.52099776,NA,NA,NA,-0.02375783
1563529,2005,0.54716718,0.40162379,NA,NA,-0.23996979
1563529,2007,0.571841,0.45306835,NA,NA,-0.08489269
1563545,2007,0.15462869,0.62461853,NA,NA,-0.0374704
1563560,2001,0.93154764,NA,NA,NA,-0.10009223
1563560,2003,0.92792463,NA,NA,NA,-0.040816337
1563560,2007,0.93857676,0.935206,NA,NA,-0.0073816776
1563560,2009,0.95449698,0.9900462,0.14207909,NA,-0.0058639497
1563560,2011,0.96902192,0.88687783,0.14098087,NA,0.028253421
1563578,2003,0.81460214,NA,NA,NA,0.011727065
1563578,2007,0.87943262,0.8503173,NA,NA,-0.060109288
1563578,2013,0.93764436,0.80468494,0.093845397,-0.4193919,0.03879191
1563594,2003,0.98163265,NA,NA,NA,0.046666667
1563594,2007,0.99263352,0.96685082,NA,NA,-0.007042259
1563594,2013,0.98381293,NA,-0.095514238,NA,-0.012048185
1563610,2001,0.33035713,NA,NA,NA,0.15923569
1563610,2013,0.50367647,0.5147059,0.0023990497,NA,-0.33333334
1563677,2013,0.67247617,0.75600129,-0.069050074,-0.4514955,-0.080527499
