"","taxrich","effort_rich","proso_rich","Age","female","Income","Education","party_left","party_right"
"1",NA,0.83333331,0.5,63,1,NA,0,NA,NA
"2",NA,0.83333331,0.66666669,69,1,NA,0.16666667,NA,NA
"3",NA,0.5,0.66666669,37,1,NA,NA,NA,NA
"4",NA,0.66666669,0.66666669,28,0,NA,0.33333334,NA,NA
"5",NA,0.66666669,NA,57,0,NA,0.16666667,NA,NA
"6",NA,0.83333331,0.83333331,56,0,NA,0.66666669,NA,NA
"7",NA,0.83333331,0.66666669,53,1,NA,0.16666667,NA,NA
"8",NA,1,0.33333334,69,1,NA,0,NA,NA
"9",NA,0.5,0.5,32,0,NA,0.66666669,NA,NA
"10",NA,0.66666669,0.83333331,59,1,NA,0.5,NA,NA
"11",NA,0.5,0.33333334,21,1,NA,0.16666667,NA,NA
"12",NA,NA,0.5,47,0,NA,0,NA,NA
"13",0.5,NA,NA,40,1,NA,0.66666669,0,0
"14",NA,0.66666669,0.66666669,65,1,NA,0.66666669,NA,NA
"15",0.5,0.33333334,0.5,28,0,0.2,0.16666667,1,0
"16",NA,1,0.5,74,0,NA,0.83333331,NA,NA
"17",0.5,0.83333331,0.5,52,1,0.2,0.66666669,1,0
"18",0.40000001,0.83333331,0.66666669,69,0,0.2,0.66666669,0,0
"19",1,1,0.83333331,69,0,0.80000001,0.66666669,0,1
"20",NA,1,0.66666669,25,1,NA,0.33333334,NA,NA
"21",NA,1,1,62,1,NA,0.16666667,NA,NA
"22",NA,0.66666669,1,61,1,NA,0.66666669,NA,NA
"23",1,1,1,18,0,NA,0,0,1
"24",NA,0.83333331,0.33333334,27,0,NA,0.16666667,NA,NA
"25",NA,0.66666669,0.83333331,46,0,NA,0,NA,NA
"26",NA,0.83333331,0.5,72,0,NA,0.16666667,NA,NA
"27",NA,0.83333331,0.66666669,72,1,NA,0.66666669,NA,NA
"28",NA,NA,0.66666669,52,1,NA,0.66666669,NA,NA
"29",NA,0.83333331,0.66666669,42,0,NA,0.16666667,NA,NA
"30",NA,1,1,51,1,NA,0.33333334,NA,NA
"31",NA,0.83333331,0.5,69,1,NA,0,NA,NA
"32",NA,0.83333331,0.83333331,74,1,NA,0.33333334,NA,NA
"33",NA,0.83333331,1,40,1,NA,0.16666667,NA,NA
"34",0.5,1,0.66666669,69,0,0.40000001,0.83333331,1,0
"35",NA,0.5,NA,73,1,NA,0.16666667,NA,NA
"36",NA,0.83333331,0.5,18,1,NA,0,NA,NA
"37",NA,NA,NA,28,1,NA,0,NA,NA
"38",NA,NA,0.5,30,1,NA,0.16666667,NA,NA
"39",NA,NA,0.5,51,0,NA,0.66666669,NA,NA
"40",NA,0.66666669,0.5,67,1,NA,0,NA,NA
