baseline_age,baseline_previousinvest,baseLine_female,treatment,baseline_cons_vote,baseline_lab_vote,baseline_noedu,baseline_SocioeconomicValues,SocioeconomicValues_post
74,0,1,1,1,0,0,0.25110579,1.6697363
51,0,0,1,0,0,0,1.1259656,1.8392755
84,1,0,1,0,0,0,-0.4208799,0.77008277
69,0,0,0,0,1,0,0.50473803,-0.10495009
67,0,0,1,0,1,0,1.6270418,1.6802949
57,0,1,1,0,0,0,-0.90360439,-1.3528022
64,1,1,0,0,0,0,0.32094043,0.77008277
48,1,1,1,0,1,0,1.2220182,1.4664563
25,0,1,1,0,0,0,-1.0046791,-0.069119677
65,0,0,1,0,0,0,1.1390746,1.0387793
50,1,1,1,1,0,0,0.54864556,1.3623337
64,0,1,1,1,0,0,1.2401494,1.2884482
53,1,0,1,1,0,0,1.5572072,1.3074757
45,0,0,1,1,0,0,0.44153324,2.247925
36,0,0,1,0,0,0,0.77147937,0.82494074
72,1,1,0,1,0,0,-1.1508276,0.63012969
61,0,0,1,0,0,0,3.0289752,2.9830048
55,0,0,0,0,0,0,-1.5689602,0.61110216
45,0,0,1,0,0,0,0.13714281,-0.069119677
67,0,1,0,0,0,0,0.68875647,-1.5666406
54,1,0,1,1,0,0,0.43490341,0.47114906
53,0,1,1,0,0,0,-0.75104684,-1.1192849
35,0,1,1,0,0,0,0.16816208,0.10888845
64,0,1,1,0,1,0,-2.7937257,-3.0831892
30,1,0,1,0,0,0,1.4366144,0.59989244
37,1,1,0,0,1,0,-0.95414174,-1.0453994
48,1,0,1,0,0,0,-0.78323233,-1.5581716
66,0,0,1,1,0,0,1.9948579,1.3623337
45,1,1,1,0,0,0,1.1893911,0.40782219
62,0,0,1,0,0,0,0.32094043,-0.069119677
81,1,0,0,0,0,0,2.2613785,1.5571446
54,1,0,1,0,0,0,0.35218051,0.66596007
48,0,0,1,0,1,0,-0.097192183,-1.1192849
47,0,1,0,0,0,0,-2.7431884,-1.5856682
46,0,1,1,1,0,0,-0.51671183,-1.0896988
62,0,1,1,1,0,0,2.2613785,1.5677031
58,1,1,0,1,0,0,-2.5076871,-1.6763564
49,0,1,1,0,0,0,-0.75104684,1.337713
49,1,1,1,0,1,0,-0.51649106,0.78623444
19,0,0,1,1,0,0,0.2885341,1.3074757
50,0,1,1,0,0,0,0.57479352,0.24884155
65,0,0,1,1,0,0,-1.7722759,0.66596007
77,1,0,0,1,0,0,2.2420812,1.8941333
71,1,0,0,0,1,0,0.20056841,0.4626801
63,0,0,0,1,0,0,0.25110579,0.58086491
25,1,1,1,0,1,0,0.40388411,0.80526197
45,0,0,1,0,0,0,-0.12937771,-0.060650703
62,0,0,0,1,0,0,0.33382866,0.55624425
54,0,0,1,1,0,0,1.9248024,1.9489913
63,1,1,0,0,0,0,0.77147937,0.24884155
48,0,1,1,0,1,0,0.11762471,-0.90544629
34,0,0,1,1,0,0,0.10473647,1.4664563
58,1,1,0,0,0,0,-2.2731314,-1.4372461
27,0,1,0,0,1,0,-0.23708227,-1.4519594
39,0,1,1,0,0,0,0.37169859,0.13416032
42,1,0,1,1,0,0,1.3605213,0.67651862
55,1,1,1,0,1,0,0.37147778,0.50697947
29,0,1,1,1,0,0,-0.88430709,0.32272699
45,0,0,1,0,1,0,-0.17991507,0.43244281
54,1,1,1,0,1,0,1.5066699,1.0936371
36,0,1,1,1,0,0,0.37147778,0.24884155
25,0,1,1,0,0,0,0.23821753,1.1484951
37,0,1,0,0,1,0,-1.0173465,-0.7106353
58,0,1,1,1,0,0,-0.13600755,-0.61772233
56,1,0,1,0,0,0,0.16816208,0.84396821
33,1,0,1,1,0,0,-1.3980508,-0.90544629
52,0,0,1,0,1,0,-0.45328623,-0.88641882
46,0,0,0,0,1,0,-1.1703457,-0.0037032294
51,0,0,1,1,0,0,0.95527697,0.30369946
56,0,1,1,0,1,0,-3.0785983,-2.6801326
67,0,1,1,1,0,0,-2.0387964,-2.5704169
29,0,1,0,0,1,0,0.77147937,0.035003025
56,1,0,1,0,0,0,0.0041033486,-3.7247047
48,0,1,1,1,0,0,-0.5670284,-0.46721071
76,0,1,0,0,0,1,1.1896119,0.45212156
