id,send_date,resp_date,days_to_resp,t_mohammad,t_good,treatments,resp_true,reject1,unclear1,accept1,school_type,bigcity,region,above_median_student,above_median_grades,above_median_non_danes
1,2017-03-05,2017-03-06,1,0,0,3,1,0,1,0,1,1,Region Nordjylland,1,0,0
2,2017-03-05,2017-03-06,1,1,1,0,1,0,1,0,1,1,Region Hovedstaden,1,0,1
3,2017-03-05,2017-03-06,1,0,0,3,1,0,1,0,1,0,Region Midtjylland,1,0,1
4,2017-03-05,NA,NA,0,1,2,0,1,0,0,1,0,Region Sjælland,1,0,1
5,2017-03-05,2017-03-06,1,0,1,2,1,0,0,1,1,0,Region Midtjylland,1,0,1
6,2017-03-05,NA,NA,1,0,1,0,1,0,0,0,0,Region Nordjylland,0,NA,1
7,2017-03-05,2017-03-06,1,0,0,3,1,0,0,1,1,0,Region Sjælland,1,0,1
8,2017-03-05,2017-03-06,1,1,0,1,1,1,0,0,0,0,Region Syddanmark,0,1,0
9,2017-03-05,2017-03-06,1,1,1,0,1,0,1,0,0,0,Region Nordjylland,0,NA,1
10,2017-03-05,2017-03-06,1,1,1,0,1,1,0,0,0,0,Region Sjælland,0,NA,0
11,2017-03-05,2017-03-08,3,1,1,0,1,0,1,0,1,1,Region Hovedstaden,1,0,1
12,2017-03-05,2017-03-06,1,0,1,2,1,1,0,0,0,0,Region Sjælland,0,1,0
13,2017-03-05,2017-03-06,1,0,0,3,1,0,1,0,1,0,Region Midtjylland,1,1,0
14,2017-03-05,2017-03-06,1,1,0,1,1,1,0,0,0,0,Region Sjælland,0,1,0
15,2017-03-05,2017-03-06,1,1,0,1,1,0,1,0,0,0,Region Midtjylland,0,0,0
16,2017-03-05,NA,NA,1,0,1,0,1,0,0,1,0,Region Syddanmark,1,0,1
17,2017-03-05,2017-03-06,1,1,1,0,1,1,0,0,0,0,Region Sjælland,0,1,0
18,2017-03-05,2017-03-10,5,0,0,3,1,0,1,0,1,0,Region Midtjylland,0,NA,0
19,2017-03-05,2017-03-06,1,1,1,0,1,0,0,1,1,0,Region Syddanmark,0,0,1
20,2017-03-05,2017-03-06,1,0,0,3,1,0,0,1,0,0,Region Nordjylland,0,NA,0
21,2017-03-05,2017-03-06,1,1,0,1,1,0,1,0,1,1,Region Syddanmark,1,0,1
22,2017-03-05,2017-03-06,1,0,0,3,1,0,1,0,1,0,Region Syddanmark,1,0,0
23,2017-03-05,NA,NA,1,0,1,0,1,0,0,1,1,Region Hovedstaden,1,0,1
24,2017-03-05,2017-03-06,1,0,1,2,1,1,0,0,0,0,Region Midtjylland,1,1,1
25,2017-03-05,2017-03-06,1,1,1,0,1,0,1,0,0,0,Region Sjælland,0,0,0
26,2017-03-05,2017-03-08,3,0,0,3,1,0,1,0,1,0,Region Sjælland,0,0,0
27,2017-03-05,2017-03-06,1,0,1,2,1,0,1,0,0,0,Region Midtjylland,0,1,0
28,2017-03-05,NA,NA,1,0,1,0,1,0,0,1,0,Region Nordjylland,0,NA,0
29,2017-03-05,2017-03-07,2,0,1,2,1,0,1,0,1,1,Region Hovedstaden,1,0,1
30,2017-03-05,2017-03-06,1,1,0,1,1,0,1,0,0,0,Region Sjælland,0,0,0
